/usr/bin/python3 /home/eap/pycharm-2019.2/helpers/pydev/pydevd.py --multiproc --qt-support=auto --client 127.0.0.1 --port 45705 --file /opt/ssd.pytorch/train.py --dataset_root ./data/SIXRay --dataset SIXRAY
pydev debugger: process 21244 is connecting

Connected to pydev debugger (build 192.5728.105)
/opt/ssd.pytorch/ssd.py:34: UserWarning: volatile was removed and now has no effect. Use `with torch.no_grad():` instead.
  self.priors = Variable(self.priorbox.forward(), volatile=True)
Loading base network...
Initializing weights...
/opt/ssd.pytorch/train.py:227: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  init.xavier_uniform(param)
Loading the dataset...
Training SSD on: SIXRay
Using the specified args:
Namespace(basenet='vgg16_reducedfc.pth', batch_size=32, cuda=True, dataset='SIXRAY', dataset_root='./data/SIXRay', gamma=0.1, lr=0.0001, momentum=0.9, num_workers=0, resume=None, save_folder='weights/', start_iter=0, visdom=False, weight_decay=0.0005)
/opt/ssd.pytorch/train.py:182: UserWarning: volatile was removed and now has no effect. Use `with torch.no_grad():` instead.
  targets = [Variable(ann.cuda(), volatile=True) for ann in targets]
/usr/local/lib/python3.7/dist-packages/torch/nn/_reduction.py:43: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
timer: 8.3067 sec.
iter 1490 || Loss: 3.6161 || timer: 0.3356 sec.
iter 1500 || Loss: 3.3211 || timer: 0.3329 sec.
iter 1510 || Loss: 3.4761 || timer: 0.3344 sec.
iter 1520 || Loss: 2.9274 || timer: 0.3323 sec.
iter 1530 || Loss: 3.3283 || timer: 0.3321 sec.
iter 1540 || Loss: 3.1809 || timer: 0.3324 sec.
iter 1550 || Loss: 3.2912 || timer: 0.3329 sec.
iter 1560 || Loss: 3.3242 || timer: 0.3323 sec.
iter 1570 || Loss: 4.2788 || timer: 0.3324 sec.
iter 1580 || Loss: 3.3264 || timer: 0.3334 sec.
iter 1590 || Loss: 3.6795 || timer: 0.3347 sec.
iter 1600 || Loss: 3.6528 || timer: 0.3318 sec.
iter 1610 || Loss: 4.2255 || timer: 0.3329 sec.
iter 1620 || Loss: 3.1850 || timer: 0.3317 sec.
iter 1630 || Loss: 3.6372 || timer: 0.3303 sec.
iter 1640 || Loss: 3.4091 || timer: 0.3315 sec.
iter 1650 || Loss: 3.3649 || timer: 0.3340 sec.
iter 1660 || Loss: 3.0663 || timer: 0.3317 sec.
iter 1670 || Loss: 3.2936 || timer: 0.3326 sec.
iter 1680 || Loss: 2.9675 || timer: 0.3316 sec.
iter 1690 || Loss: 3.5898 || timer: 0.3325 sec.
iter 1700 || Loss: 3.5303 || timer: 0.3316 sec.
iter 1710 || Loss: 3.0548 || timer: 0.3314 sec.
iter 1720 || Loss: 3.0357 || timer: 0.3356 sec.
iter 1730 || Loss: 3.1561 || timer: 0.3369 sec.
iter 1740 || Loss: 3.0914 || timer: 0.3335 sec.
iter 1750 || Loss: 2.8586 || timer: 0.3323 sec.
iter 1760 || Loss: 3.3044 || timer: 0.3338 sec.
iter 1770 || Loss: 3.1213 || timer: 0.3324 sec.
iter 1780 || Loss: 3.2232 || timer: 0.3318 sec.
iter 1790 || Loss: 4.1100 || timer: 0.3349 sec.
iter 1800 || Loss: 3.2472 || timer: 0.3344 sec.
iter 1810 || Loss: 3.2729 || timer: 0.3336 sec.
iter 1820 || Loss: 3.7298 || timer: 0.3352 sec.
iter 1830 || Loss: 3.0362 || timer: 0.3323 sec.
iter 1840 || Loss: 3.1795 || timer: 0.3338 sec.
iter 1850 || Loss: 3.4080 || timer: 0.3320 sec.
iter 1860 || Loss: 2.9786 || timer: 0.3331 sec.
iter 1870 || Loss: 3.3133 || timer: 0.3331 sec.
iter 1880 || Loss: 2.9012 || timer: 0.3316 sec.
iter 1890 || Loss: 3.1674 || timer: 0.3330 sec.
iter 1900 || Loss: 3.1333 || timer: 0.3343 sec.
iter 1910 || Loss: 3.1730 || timer: 0.3331 sec.
iter 1920 || Loss: 3.2411 || timer: 0.3355 sec.
iter 1930 || Loss: 3.5401 || timer: 0.3327 sec.
iter 1940 || Loss: 3.0267 || timer: 0.3329 sec.
iter 1950 || Loss: 3.1108 || timer: 0.3350 sec.
iter 1960 || Loss: 3.2998 || timer: 0.3339 sec.
iter 1970 || Loss: 2.9556 || timer: 0.3334 sec.
iter 1980 || Loss: 3.3713 || timer: 0.3347 sec.
iter 1990 || Loss: 3.0823 || timer: 0.3317 sec.
iter 2000 || Loss: 3.0815 || timer: 0.3364 sec.
iter 2010 || Loss: 2.9546 || timer: 0.3353 sec.
iter 2020 || Loss: 3.4195 || timer: 0.3330 sec.
iter 2030 || Loss: 2.7162 || timer: 0.3334 sec.
iter 2040 || Loss: 2.8186 || timer: 0.3343 sec.
iter 2050 || Loss: 2.8745 || timer: 0.3359 sec.
iter 2060 || Loss: 3.7814 || timer: 0.3344 sec.
iter 2070 || Loss: 4.0979 || timer: 0.3307 sec.
iter 2080 || Loss: 2.9207 || timer: 0.3313 sec.
iter 2090 || Loss: 3.5380 || timer: 0.3321 sec.
iter 2100 || Loss: 3.1231 || timer: 0.3348 sec.
iter 2110 || Loss: 3.2809 || timer: 0.3327 sec.
iter 2120 || Loss: 3.2944 || timer: 0.3315 sec.
iter 2130 || Loss: 3.2746 || timer: 0.3365 sec.
iter 2140 || Loss: 3.2515 || timer: 0.3305 sec.
iter 2150 || Loss: 4.0540 || timer: 0.3339 sec.
iter 2160 || Loss: 2.9160 || timer: 0.3319 sec.
iter 2170 || Loss: 3.0648 || timer: 0.3364 sec.
iter 2180 || Loss: 2.7661 || timer: 0.3347 sec.
iter 2190 || Loss: 2.9189 || timer: 0.3340 sec.
iter 2200 || Loss: 2.7836 || timer: 0.3320 sec.
iter 2210 || Loss: 3.1223 || timer: 0.3315 sec.
iter 2220 || Loss: 3.4492 || timer: 0.3312 sec.
iter 2230 || Loss: 3.0467 || timer: 0.3329 sec.
iter 2240 || Loss: 3.4960 || timer: 0.3332 sec.
iter 2250 || Loss: 3.1955 || timer: 0.3342 sec.
iter 2260 || Loss: 2.8684 || timer: 0.3339 sec.
iter 2270 || Loss: 3.6262 || timer: 0.3372 sec.
iter 2280 || Loss: 2.9209 || timer: 0.3346 sec.
iter 2290 || Loss: 3.5999 || timer: 0.3369 sec.
iter 2300 || Loss: 3.3314 || timer: 0.3330 sec.
iter 2310 || Loss: 3.3360 || timer: 0.3343 sec.
iter 2320 || Loss: 2.6911 || timer: 0.3334 sec.
iter 2330 || Loss: 3.1384 || timer: 0.3327 sec.
iter 2340 || Loss: 3.0389 || timer: 0.3319 sec.
iter 2350 || Loss: 3.3690 || timer: 0.3351 sec.
iter 2360 || Loss: 2.9456 || timer: 0.3322 sec.
iter 2370 || Loss: 2.7698 || timer: 0.3330 sec.
iter 2380 || Loss: 2.8978 || timer: 0.3334 sec.
iter 2390 || Loss: 2.7448 || timer: 0.3327 sec.
iter 2400 || Loss: 2.9354 || timer: 0.3326 sec.
iter 2410 || Loss: 2.7327 || timer: 0.3342 sec.
iter 2420 || Loss: 2.8386 || timer: 0.3324 sec.
iter 2430 || Loss: 2.5986 || timer: 0.3353 sec.
iter 2440 || Loss: 3.9830 || timer: 0.3330 sec.
iter 2450 || Loss: 3.0811 || timer: 0.3323 sec.
iter 2460 || Loss: 2.7744 || timer: 0.3305 sec.
iter 2470 || Loss: 3.2883 || timer: 0.3340 sec.
iter 2480 || Loss: 3.5326 || timer: 0.3346 sec.
iter 2490 || Loss: 3.1158 || timer: 0.3337 sec.
iter 2500 || Loss: 3.0489 || timer: 0.3326 sec.
iter 2510 || Loss: 3.4225 || timer: 0.3335 sec.
iter 2520 || Loss: 3.2294 || timer: 0.3338 sec.
iter 2530 || Loss: 3.5821 || timer: 0.3327 sec.
iter 2540 || Loss: 3.2988 || timer: 0.3326 sec.
iter 2550 || Loss: 3.4523 || timer: 0.3310 sec.
iter 2560 || Loss: 3.7321 || timer: 0.3327 sec.
iter 2570 || Loss: 2.6624 || timer: 0.3332 sec.
iter 2580 || Loss: 3.2629 || timer: 0.3323 sec.
iter 2590 || Loss: 2.9380 || timer: 0.3357 sec.
iter 2600 || Loss: 3.1189 || timer: 0.3342 sec.
iter 2610 || Loss: 3.0527 || timer: 0.3307 sec.
iter 2620 || Loss: 2.9948 || timer: 0.3318 sec.
iter 2630 || Loss: 2.5031 || timer: 0.3336 sec.
iter 2640 || Loss: 3.0365 || timer: 0.3334 sec.
iter 2650 || Loss: 2.4207 || timer: 0.3330 sec.
iter 2660 || Loss: 3.2559 || timer: 0.3333 sec.
